encoder,dataset,batch_size,run,time,speed
msmarco-bert-base-dot-v5,nq,4,0,7.959753036499023,433.68179693151757
msmarco-bert-base-dot-v5,nq,4,1,8.006736516952515,431.1369548243713
msmarco-bert-base-dot-v5,nq,4,2,8.063181638717651,428.1188437358578
msmarco-bert-base-dot-v5,nq,8,0,4.1565141677856445,830.5036048605676
msmarco-bert-base-dot-v5,nq,8,1,4.157686710357666,830.2693878786843
msmarco-bert-base-dot-v5,nq,8,2,4.145662069320679,832.6776139198571
msmarco-bert-base-dot-v5,nq,16,0,3.1500041484832764,1095.8715726333676
msmarco-bert-base-dot-v5,nq,16,1,3.168454885482788,1089.4900273999033
msmarco-bert-base-dot-v5,nq,16,2,3.161827325820923,1091.7737258481495
msmarco-bert-base-dot-v5,nq,32,0,2.8927764892578125,1193.3172206075503
msmarco-bert-base-dot-v5,nq,32,1,2.910050392150879,1186.2337536528207
msmarco-bert-base-dot-v5,nq,32,2,2.913071870803833,1185.0033755080183
msmarco-bert-base-dot-v5,nq,64,0,2.89170503616333,1193.7593761568644
msmarco-bert-base-dot-v5,nq,64,1,2.9000985622406006,1190.3043727358713
msmarco-bert-base-dot-v5,nq,64,2,2.8765647411346436,1200.0425196890856
hlyu/basemodel_1layer_0,nq,4,0,1.6126489639282227,2140.577445689938
hlyu/basemodel_1layer_0,nq,4,1,1.6143624782562256,2138.305397018842
hlyu/basemodel_1layer_0,nq,4,2,1.610342264175415,2143.643669296363
hlyu/basemodel_1layer_0,nq,8,0,0.8346412181854248,4135.908848960176
hlyu/basemodel_1layer_0,nq,8,1,0.8303303718566895,4157.381347235359
hlyu/basemodel_1layer_0,nq,8,2,0.8272228240966797,4172.998978563672
hlyu/basemodel_1layer_0,nq,16,0,0.49956178665161133,6910.056157692833
hlyu/basemodel_1layer_0,nq,16,1,0.4973294734954834,6941.072636893196
hlyu/basemodel_1layer_0,nq,16,2,0.49772095680236816,6935.613123822508
hlyu/basemodel_1layer_0,nq,32,0,0.3565175533294678,9682.552703961566
hlyu/basemodel_1layer_0,nq,32,1,0.3537414073944092,9758.540922383852
hlyu/basemodel_1layer_0,nq,32,2,0.35543370246887207,9712.078443946426
hlyu/basemodel_1layer_0,nq,64,0,0.3204476833343506,10772.429259219303
hlyu/basemodel_1layer_0,nq,64,1,0.3185269832611084,10837.386411217374
hlyu/basemodel_1layer_0,nq,64,2,0.31864094734191895,10833.510346979408
hlyu/basemodel_2layer_0_10,nq,4,0,2.1393887996673584,1613.5449529027787
hlyu/basemodel_2layer_0_10,nq,4,1,2.135484218597412,1616.495205133043
hlyu/basemodel_2layer_0_10,nq,4,2,2.1376404762268066,1614.864631536729
hlyu/basemodel_2layer_0_10,nq,8,0,1.2567729949951172,2746.7171985290884
hlyu/basemodel_2layer_0_10,nq,8,1,1.262293815612793,2734.70404219971
hlyu/basemodel_2layer_0_10,nq,8,2,1.2223756313323975,2824.009176489634
hlyu/basemodel_2layer_0_10,nq,16,0,0.6984515190124512,4942.361647206128
hlyu/basemodel_2layer_0_10,nq,16,1,0.696993350982666,4952.701478619772
hlyu/basemodel_2layer_0_10,nq,16,2,0.6982982158660889,4943.446684477829
hlyu/basemodel_2layer_0_10,nq,32,0,0.5759456157684326,5993.621455724263
hlyu/basemodel_2layer_0_10,nq,32,1,0.5711836814880371,6043.5900252033
hlyu/basemodel_2layer_0_10,nq,32,2,0.5732555389404297,6021.747310772548
hlyu/basemodel_2layer_0_10,nq,64,0,0.5477461814880371,6302.189073453892
hlyu/basemodel_2layer_0_10,nq,64,1,0.5411696434020996,6378.776123322011
hlyu/basemodel_2layer_0_10,nq,64,2,0.5387187004089355,6407.796865747605
hlyu/basemodel_4layer_0_1_10_11,nq,4,0,3.369117259979248,1024.6007288037408
hlyu/basemodel_4layer_0_1_10_11,nq,4,1,3.365208625793457,1025.7907856117179
hlyu/basemodel_4layer_0_1_10_11,nq,4,2,3.3499343395233154,1030.467958512646
hlyu/basemodel_4layer_0_1_10_11,nq,8,0,1.7073137760162354,2021.8896189397196
hlyu/basemodel_4layer_0_1_10_11,nq,8,1,1.7125608921051025,2015.6947504253444
hlyu/basemodel_4layer_0_1_10_11,nq,8,2,1.7719535827636719,1948.1322950999663
hlyu/basemodel_4layer_0_1_10_11,nq,16,0,1.174112319946289,2940.09349987735
hlyu/basemodel_4layer_0_1_10_11,nq,16,1,1.1847264766693115,2913.752725190039
hlyu/basemodel_4layer_0_1_10_11,nq,16,2,1.1731207370758057,2942.578620342755
hlyu/basemodel_4layer_0_1_10_11,nq,32,0,1.0354557037353516,3333.797851078605
hlyu/basemodel_4layer_0_1_10_11,nq,32,1,1.0421814918518066,3312.2829631778363
hlyu/basemodel_4layer_0_1_10_11,nq,32,2,1.0364856719970703,3330.485016111016
hlyu/basemodel_4layer_0_1_10_11,nq,64,0,1.0078709125518799,3425.041795540765
hlyu/basemodel_4layer_0_1_10_11,nq,64,1,1.009148359298706,3420.706151074675
hlyu/basemodel_4layer_0_1_10_11,nq,64,2,1.0109319686889648,3414.6709243716505
